route,severity,published,supplier,product,finding,how
AUTOMATIC,major,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","1 FAQ answer nothing (e.g. ""What should I do if the planter arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Large Grey Floor Standing Planter","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Premier Housewares","Trosa Small White And Black Floor Standing Planter","Filler phrases: seamlessly, perfect for, statement piece, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small White And Black Floor Standing Planter","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Trosa Small White And Black Floor Standing Planter","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Small White And Black Floor Standing Planter","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Trosa Small White And Black Floor Standing Planter","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Grey And Black Floor Standing Planter","2 FAQs answer nothing (e.g. ""Can the planter be left outside in frost?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Grey And Black Floor Standing Planter","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Trosa Small Grey And Black Floor Standing Planter","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Small Grey And Black Floor Standing Planter","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Trosa Small Grey And Black Floor Standing Planter","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","4 FAQs answer nothing (e.g. ""Does the planter have drainage holes?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Small Grey Floor Standing Planter","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Green Floor Standing Planter","1 FAQ answer nothing (e.g. ""What should I do if the product arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Trosa Small Green Floor Standing Planter","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Trosa Small Green Floor Standing Planter","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Trosa Small Green Floor Standing Planter","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Trosa Small Green Floor Standing Planter","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","1 FAQ answer nothing (e.g. ""Do the fixings for hanging come with the mirror?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Cassini Chrome Large Swivel Mirror","Markdown markup left in the text.","new: fix-catalogue-tier1.ts, text-artefact pass"
AUTOMATIC,major,draft,"Premier Housewares","Neptune Copper Finish Round Swivel Bathroom Mirror","2 FAQs answer nothing (e.g. ""Can the Neptune mirror be hung in portrait and landscape ori"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Neptune Copper Finish Round Swivel Bathroom Mirror","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Neptune Copper Finish Round Swivel Bathroom Mirror","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Neptune Copper Finish Round Swivel Bathroom Mirror","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Neptune Copper Finish Round Swivel Bathroom Mirror","No weight recorded.","supplier spec sheet — §E"
WRITING,minor,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","Filler phrases: perfect for, adds a touch of, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","1 FAQ answer nothing (e.g. ""Are fixings supplied for hanging the mirror?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Beauty Cosmetic Organiser With A Mirror","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Tumbler","1 FAQ answer nothing (e.g. ""Can I use this tumbler for food storage?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Tumbler","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Grey Tumbler","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Grey Tumbler","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Grey Tumbler","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Grey Tumbler","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Premier Housewares","Canyon White Tumbler","Filler phrases: seamlessly, perfect for, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White Tumbler","1 FAQ answer nothing (e.g. ""What if my tumbler arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White Tumbler","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon White Tumbler","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon White Tumbler","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon White Tumbler","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Black Tumbler","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Black Tumbler","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Black Tumbler","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Black Tumbler","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Toothbrush Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Grey Toothbrush Holder","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Grey Toothbrush Holder","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White Toothbrush Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon White Toothbrush Holder","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon White Toothbrush Holder","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Black Toothbrush Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Black Toothbrush Holder","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Black Toothbrush Holder","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey 300ml Lotion Dispenser","1 FAQ answer nothing (e.g. ""What should I do if the item arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey 300ml Lotion Dispenser","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Grey 300ml Lotion Dispenser","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Grey 300ml Lotion Dispenser","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White 300ml Lotion Dispenser","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon White 300ml Lotion Dispenser","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon White 300ml Lotion Dispenser","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon 300 ml Black Lotion Dispenser","1 FAQ answer nothing (e.g. ""Is this dispenser safe for food use?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon 300 ml Black Lotion Dispenser","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon 300 ml Black Lotion Dispenser","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon 300 ml Black Lotion Dispenser","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Lotion Dispenser - 500ml","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Grey Lotion Dispenser - 500ml","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Grey Lotion Dispenser - 500ml","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Grey Lotion Dispenser - 500ml","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White Lotion Dispenser - 500ml","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon White Lotion Dispenser - 500ml","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon White Lotion Dispenser - 500ml","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon White Lotion Dispenser - 500ml","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Black Lotion Dispenser - 500ml","1 FAQ answer nothing (e.g. ""Can the lotion dispenser be used for storing water?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Black Lotion Dispenser - 500ml","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Black Lotion Dispenser - 500ml","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Black Lotion Dispenser - 500ml","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Black Lotion Dispenser - 500ml","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Soap Dish","1 FAQ answer nothing (e.g. ""What if my soap dish is delivered damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Grey Soap Dish","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Grey Soap Dish","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Grey Soap Dish","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Grey Soap Dish","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon White Soap Dish","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon White Soap Dish","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon White Soap Dish","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon White Soap Dish","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Canyon Black Soap Dish","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Canyon Black Soap Dish","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Canyon Black Soap Dish","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Canyon Black Soap Dish","No weight recorded.","supplier spec sheet — §E"
AUTOMATIC,major,draft,"Premier Housewares","Destini Classical Black Wall Clock","4 FAQs answer nothing (e.g. ""Are fixings supplied for installation?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Destini Classical Black Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Destini Classical Black Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Destini Classical Black Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Destini Classical Black Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Destini Classical Black Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","1 FAQ answer nothing (e.g. ""What should I do if my clock arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Verdian Multi Coloured Circles DIY Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
AUTOMATIC,major,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","1 FAQ answer nothing (e.g. ""Are fixings supplied for hanging the clock?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Cannoli Green Cupcake Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
AUTOMATIC,major,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
NEEDS DATA,major,draft,"Premier Housewares","Verdian Red Heart DIY Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Tortora Red Glass and Black Numbers Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Tortora Red Glass and Black Numbers Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Tortora Red Glass and Black Numbers Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Tortora Red Glass and Black Numbers Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Tortora Red Glass and Black Numbers Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
AUTOMATIC,major,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","4 FAQs answer nothing (e.g. ""Is the glass on the clock real glass?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Romero Blue Cutlery Metal Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","1 FAQ answer nothing (e.g. ""What if my clock arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Romero Hot Pink Cutlery Metal Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","Filler phrases: effortlessly, perfect for, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","3 FAQs answer nothing (e.g. ""Can the clock be hung in portrait and landscape orientations"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Maddox Cream Metal White Face Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","3 FAQs answer nothing (e.g. ""Can the clock be hung portrait and landscape?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Cheston White Antique Finish Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","1 FAQ answer nothing (e.g. ""What should I do if my clock arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
NEEDS DATA,major,draft,"Premier Housewares","Vitus Black and Gold Metal Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","1 FAQ answer nothing (e.g. ""Are fixings supplied for mounting the clock?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,minor,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
NEEDS DATA,major,draft,"Premier Housewares","Baillie Rose Gold and Mirror Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Yaxi Wall Clock","2 FAQs answer nothing (e.g. ""Can the clock be hung in both portrait and landscape?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Premier Housewares","Yaxi Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Yaxi Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Premier Housewares","Yaxi Wall Clock","No cost price, so margin is unknown.","supplier trade price file — docs/external-data-requirements.md §B"
NEEDS DATA,minor,draft,"Premier Housewares","Yaxi Wall Clock","No weight recorded.","supplier spec sheet — §E"
NEEDS DATA,major,draft,"Premier Housewares","Yaxi Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Premier Housewares","Elko Oval Wall Clock with Dark Grey Finish","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Premier Housewares","Elko Oval Wall Clock with Dark Grey Finish","No retail price.","prices are Damien's — never imported, never guessed"
